"scientificName" "occurrenceRemarks" "occurrenceStatus" "occurrenceStatus01"
"336" "Carlina vulgaris L." "p6-2019" "present" 1
"337" "Carlina vulgaris L." "p7-2019" "absent" 0
"338" "Carlina vulgaris L." "p8-2019" "present" 1
"339" "Carlina vulgaris L." "p9-2019" "present" 1
"340" "Carlina vulgaris L." "p10-2019" "present" 1
"341" "Carlina vulgaris L." "p11-2019" "absent" 0
"342" "Carlina vulgaris L." "p12-2019" "present" 1
"343" "Carlina vulgaris L." "p13-2019" "present" 1
"344" "Carlina vulgaris L." "p14-2019" "present" 1
"345" "Carlina vulgaris L." "p15-2019" "present" 1
"346" "Carlina vulgaris L." "p1-2020" "absent" 0
"347" "Carlina vulgaris L." "p2-2020" "present" 1
"348" "Carlina vulgaris L." "p3-2020" "present" 1
"349" "Carlina vulgaris L." "p4-2020" "present" 1
"350" "Carlina vulgaris L." "p5-2020" "present" 1
"351" "Carlina vulgaris L." "p6-2020" "present" 1
"352" "Carlina vulgaris L." "p7-2020" "absent" 0
"353" "Carlina vulgaris L." "p8-2020" "present" 1
"354" "Carlina vulgaris L." "p9-2020" "present" 1
"355" "Carlina vulgaris L." "p10-2020" "present" 1
"356" "Carlina vulgaris L." "p11-2020" "absent" 0
"357" "Carlina vulgaris L." "p12-2020" "present" 1
"358" "Carlina vulgaris L." "p13-2020" "present" 1
"359" "Carlina vulgaris L." "p14-2020" "present" 1
"360" "Carlina vulgaris L." "p15-2020" "present" 1
"361" "Centaurea scabiosa L." "p1-2009" "absent" 0
"362" "Centaurea scabiosa L." "p2-2009" "absent" 0
"363" "Centaurea scabiosa L." "p3-2009" "absent" 0
"364" "Centaurea scabiosa L." "p4-2009" "absent" 0
"365" "Centaurea scabiosa L." "p5-2009" "absent" 0
"366" "Centaurea scabiosa L." "p6-2009" "absent" 0
"367" "Centaurea scabiosa L." "p7-2009" "absent" 0
"368" "Centaurea scabiosa L." "p8-2009" "absent" 0
"369" "Centaurea scabiosa L." "p9-2009" "absent" 0
"370" "Centaurea scabiosa L." "p10-2009" "absent" 0
"371" "Centaurea scabiosa L." "p11-2009" "absent" 0
"372" "Centaurea scabiosa L." "p12-2009" "absent" 0
"373" "Centaurea scabiosa L." "p13-2009" "absent" 0
"374" "Centaurea scabiosa L." "p14-2009" "absent" 0
"375" "Centaurea scabiosa L." "p15-2009" "absent" 0
"376" "Centaurea scabiosa L." "p1-2019" "absent" 0
"377" "Centaurea scabiosa L." "p2-2019" "absent" 0
"378" "Centaurea scabiosa L." "p3-2019" "absent" 0
"379" "Centaurea scabiosa L." "p4-2019" "absent" 0
"380" "Centaurea scabiosa L." "p5-2019" "absent" 0
"381" "Centaurea scabiosa L." "p6-2019" "absent" 0
"382" "Centaurea scabiosa L." "p7-2019" "absent" 0
"383" "Centaurea scabiosa L." "p8-2019" "absent" 0
"384" "Centaurea scabiosa L." "p9-2019" "absent" 0
"385" "Centaurea scabiosa L." "p10-2019" "absent" 0
"386" "Centaurea scabiosa L." "p11-2019" "absent" 0
"387" "Centaurea scabiosa L." "p12-2019" "absent" 0
"388" "Centaurea scabiosa L." "p13-2019" "absent" 0
"389" "Centaurea scabiosa L." "p14-2019" "absent" 0
"390" "Centaurea scabiosa L." "p15-2019" "absent" 0
"391" "Centaurea scabiosa L." "p1-2020" "absent" 0
"392" "Centaurea scabiosa L." "p2-2020" "absent" 0
"393" "Centaurea scabiosa L." "p3-2020" "absent" 0
"394" "Centaurea scabiosa L." "p4-2020" "absent" 0
"395" "Centaurea scabiosa L." "p5-2020" "absent" 0
"396" "Centaurea scabiosa L." "p6-2020" "absent" 0
"397" "Centaurea scabiosa L." "p7-2020" "absent" 0
"398" "Centaurea scabiosa L." "p8-2020" "absent" 0
"399" "Centaurea scabiosa L." "p9-2020" "absent" 0
"400" "Centaurea scabiosa L." "p10-2020" "absent" 0
"401" "Centaurea scabiosa L." "p11-2020" "absent" 0
"402" "Centaurea scabiosa L." "p12-2020" "absent" 0
"403" "Centaurea scabiosa L." "p13-2020" "absent" 0
"404" "Centaurea scabiosa L." "p14-2020" "absent" 0
"405" "Centaurea scabiosa L." "p15-2020" "absent" 0
"406" "Cerastium semidecandrum L." "p1-2009" "absent" 0
"407" "Cerastium semidecandrum L." "p2-2009" "absent" 0
"408" "Cerastium semidecandrum L." "p3-2009" "absent" 0
"409" "Cerastium semidecandrum L." "p4-2009" "present" 1
"410" "Cerastium semidecandrum L." "p5-2009" "absent" 0
"411" "Cerastium semidecandrum L." "p6-2009" "absent" 0
"412" "Cerastium semidecandrum L." "p7-2009" "present" 1
"413" "Cerastium semidecandrum L." "p8-2009" "present" 1
"414" "Cerastium semidecandrum L." "p9-2009" "present" 1
"415" "Cerastium semidecandrum L." "p10-2009" "present" 1
"416" "Cerastium semidecandrum L." "p11-2009" "absent" 0
"417" "Cerastium semidecandrum L." "p12-2009" "absent" 0
"418" "Cerastium semidecandrum L." "p13-2009" "present" 1
"419" "Cerastium semidecandrum L." "p14-2009" "absent" 0
"420" "Cerastium semidecandrum L." "p15-2009" "absent" 0
"421" "Cerastium semidecandrum L." "p1-2019" "absent" 0
"422" "Cerastium semidecandrum L." "p2-2019" "absent" 0
"423" "Cerastium semidecandrum L." "p3-2019" "absent" 0
"424" "Cerastium semidecandrum L." "p4-2019" "absent" 0
"425" "Cerastium semidecandrum L." "p5-2019" "absent" 0
"426" "Cerastium semidecandrum L." "p6-2019" "present" 1
"427" "Cerastium semidecandrum L." "p7-2019" "absent" 0
"428" "Cerastium semidecandrum L." "p8-2019" "absent" 0
"429" "Cerastium semidecandrum L." "p9-2019" "absent" 0
